Designator,Mid X,Mid Y,Rotation,Layer
D1,75.425,-70.0,0.0,top
D10,252.0,-75.0,0.0,top
D11,271.525,-71.0,0.0,top
D12,291.475,-69.0,0.0,top
D13,311.0,-69.0,0.0,top
D14,80.175,-89.0,0.0,top
D15,104.375,-89.0,0.0,top
D16,123.825,-90.0,0.0,top
D17,143.325,-93.0,0.0,top
D18,162.225,-98.0,0.0,top
D19,181.825,-101.0,0.0,top
D2,94.475,-70.0,0.0,top
D20,202.425,-102.0,0.0,top
D21,222.775,-100.0,0.0,top
D22,242.425,-96.0,0.0,top
D23,262.0,-92.0,0.0,top
D24,281.675,-89.0,0.0,top
D25,301.625,-88.0,0.0,top
D26,320.675,-88.0,0.0,top
D27,82.56875,-108.0,0.0,top
D28,109.175,-108.0,0.0,top
D29,129.325,-110.0,0.0,top
D3,114.0,-70.0,0.0,top
D30,148.725,-115.0,0.0,top
D31,168.125,-119.0,0.0,top
D32,187.825,-122.0,0.0,top
D33,208.425,-121.0,0.0,top
D34,228.125,-119.0,0.0,top
D35,247.525,-115.0,0.0,top
D36,266.875,-110.0,0.0,top
D37,286.575,-107.0,0.0,top
D38,306.425,-107.0,0.0,top
D39,325.45625,-107.0,0.0,top
D4,133.675,-71.0,0.0,top
D40,87.33125,-127.0,0.0,top
D41,119.025,-128.0,0.0,top
D42,138.475,-132.0,0.0,top
D43,157.125,-136.0,0.0,top
D44,176.675,-139.0,0.0,top
D45,196.425,-141.0,0.0,top
D46,216.258077,-140.0,0.0,top
D47,236.0,-138.0,0.0,top
D48,255.375,-134.0,0.0,top
D49,274.775,-129.0,0.0,top
D5,153.525,-76.0,0.0,top
D50,294.525,-127.0,0.0,top
D51,314.375,-126.0,0.0,top
D52,333.375,-126.0,0.0,top
D53,77.80625,-146.0,0.0,top
D54,100.025,-147.0,0.0,top
D55,122.0,-150.0,0.0,top
D56,143.775,-155.0,0.0,top
D57,165.525,-160.0,0.0,top
D58,187.586977,-162.0,0.0,top
D59,208.225,-162.0,0.0,top
D6,172.625,-80.0,0.0,top
D60,230.275,-160.0,0.0,top
D61,252.025,-155.0,0.0,top
D62,273.725,-150.0,0.0,top
D63,295.775,-147.0,0.0,top
D64,315.175,-146.0,0.0,top
D65,338.1375,-150.0,0.0,top
D66,330.175,-69.0,0.0,top
D67,349.225,-69.0,0.0,top
D68,346.875,-98.0,0.0,top
D69,381.0,-88.0,0.0,top
D7,193.025,-83.0,0.0,top
D70,381.0,-107.0,0.0,top
D71,357.1875,-130.0,0.0,top
D72,381.0,-126.0,0.0,top
D73,357.1875,-150.0,0.0,top
D74,376.2375,-150.0,0.0,top
D8,214.0,-82.0,0.0,top
D9,233.0,-79.0,0.0,top
SW1,75.425,-63.1625,0.0,top
SW10,252.075,-67.3125,11.0,top
SW11,271.525,-63.7625,7.5,top
SW12,291.475,-61.9625,2.5,top
SW13,311.125,-61.9125,0.0,top
SW14,80.175,-82.2125,0.0,top
SW15,104.375,-81.9625,357.5,top
SW16,123.825,-83.0125,355.0,top
SW17,143.325,-86.5625,350.0,top
SW18,162.225,-91.2625,347.5,top
SW19,181.825,-94.6125,352.5,top
SW2,94.475,-62.5125,0.0,top
SW20,202.425,-95.6625,2.5,top
SW21,222.775,-93.5125,10.0,top
SW22,242.425,-89.4125,15.0,top
SW23,261.925,-85.0125,10.0,top
SW24,281.675,-82.1125,5.0,top
SW25,301.625,-80.9625,0.0,top
SW26,320.675,-80.9625,0.0,top
SW27,82.56875,-101.2625,0.0,top
SW28,109.175,-101.2625,357.5,top
SW29,129.325,-103.4625,350.0,top
SW3,113.925,-62.9125,357.5,top
SW30,148.725,-107.7625,345.0,top
SW31,168.125,-112.0625,350.0,top
SW32,187.825,-114.6625,355.0,top
SW33,208.425,-114.6625,5.0,top
SW34,228.125,-112.0625,10.0,top
SW35,247.525,-107.7625,15.0,top
SW36,266.875,-103.4625,10.0,top
SW37,286.575,-100.8625,5.0,top
SW38,306.425,-100.0125,0.0,top
SW39,325.45625,-100.0125,0.0,top
SW4,133.675,-64.7125,352.5,top
SW40,87.33125,-120.3125,0.0,top
SW41,119.025,-121.7625,355.0,top
SW42,138.475,-125.5625,350.0,top
SW43,157.125,-129.4625,350.0,top
SW44,176.675,-132.8125,355.0,top
SW45,196.425,-134.5125,0.0,top
SW46,216.258077,-133.649812,5.0,top
SW47,235.975,-131.0625,10.0,top
SW48,255.375,-126.7625,15.0,top
SW49,274.775,-122.4625,10.0,top
SW5,153.525,-68.7625,345.0,top
SW50,294.525,-119.8625,5.0,top
SW51,314.375,-119.0625,0.0,top
SW52,333.375,-119.0625,0.0,top
SW53,77.80625,-139.3625,0.0,top
SW54,100.025,-140.2125,355.0,top
SW55,122.075,-143.2125,350.0,top
SW56,143.775,-147.9125,345.0,top
SW57,165.525,-152.6125,350.0,top
SW58,187.586977,-155.612451,355.0,top
SW59,208.225,-155.6125,5.0,top
SW6,172.625,-73.3625,348.0,top
SW60,230.275,-152.6125,10.0,top
SW61,252.025,-147.9125,15.0,top
SW62,273.725,-143.2125,10.0,top
SW63,295.775,-140.2125,5.0,top
SW64,315.175,-138.9625,2.5,top
SW65,338.1375,-142.875,0.0,top
SW66,330.175,-61.9125,0.0,top
SW67,349.225,-61.9125,0.0,top
SW68,346.875,-90.4625,90.0,top
SW69,381.0,-80.9625,0.0,top
SW7,193.025,-75.9625,357.5,top
SW70,381.0,-100.0125,0.0,top
SW71,357.1875,-123.825,0.0,top
SW72,381.0,-119.0625,0.0,top
SW73,357.1875,-142.875,0.0,top
SW74,376.2375,-142.875,0.0,top
SW8,213.675,-75.0625,7.5,top
SW9,233.225,-71.6125,12.5,top
